what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286297662436
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286297760210
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286297839531
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286297864165
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286297872048
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286297888584
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286297945542
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286297949591
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286297955294
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286297980982
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286298015286
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298018290
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286298024227
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298025932
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298032919
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286298035657
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298036338
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298038982
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298042777
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298044537
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298053239
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286298060551
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298063292
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286298098224
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298105121
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298112479
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286298113750
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298114766
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298116871
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298121217
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298123446
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298161671
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286298166295
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298240108
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286298242900
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1286298269130
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298271690
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286298273778
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286298277162
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298280078
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298285980
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298287750
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298289856
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298293168
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298295293
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298325779
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298337649
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298340137
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286298458210
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286298463357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298466736
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298472937
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286298474157
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298474808
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298476521
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298479535
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298481343
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298496148
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286298509445
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298512709
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298516055
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286298516825
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298517446
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298518854
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298524021
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298525854
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298533000
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298536564
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1286298564915
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298567679
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298573965
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286298580115
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298581643
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286298583106
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298586808
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298590026
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286298590854
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298591451
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298593407
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298596895
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298598626
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298610143
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286298616547
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1286298740354
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1286298747497
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298748443
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298757299
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298758312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298760566
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298765722
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1286298767289
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1286298779340
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298835342
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286298855910
